commit_id,author_id,date,loc,addition,deletion,file_num,bug_num,author_activity_in_last_four_weeks,total_commit_num,buggy_commit_num,total_bug_num,first_commit_week,active_week_num,followers,public_repos,created_at
b7e092e821021b7c0dbd91eacfe369181bfa28b8,philwebb,2019-07-13T13:01:04Z,4,2,2,1,2,"{'addition': 5683, 'deletion': 5410, 'commits': 42}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
fb0fccf3c7e1b1290ef64a1d2c388d788a5a965e,snicoll,2019-08-01T09:58:38Z,259,122,137,4,1,"{'addition': 1048, 'deletion': 622, 'commits': 50}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
e184298c50a0089336516933e5a6ce11a60df383,mbhave,2019-07-29T21:13:35Z,89,54,35,2,1,"{'addition': 249, 'deletion': 161, 'commits': 7}",814,2,2,2016-10-02 08:00:00,188,615,37,2012-05-21T21:52:15Z
68a3fbd7a0453b815966db4353405a0b5e2303d3,philwebb,2019-05-30T22:58:43Z,441,264,177,15,2,"{'addition': 350, 'deletion': 114, 'commits': 8}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
c6c139d980a50a1b39e564d44a1df6d46f8ca11b,wilkinsona,2019-06-07T09:46:31Z,63328,23855,39473,300,2,"{'addition': 15817, 'deletion': 16335, 'commits': 50}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
7857dd2d7230ab48c53e8648c23647e3b793b895,bclozel,2019-06-21T09:21:13Z,70,34,36,5,1,"{'addition': 1450, 'deletion': 436, 'commits': 9}",406,3,3,2014-05-18 08:00:00,144,1018,108,2009-07-09T12:46:57Z
d5370e6852cb61e333369127a517474de2a7ec58,dreis2211,2017-12-11T16:08:38Z,5,4,1,1,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",466,1,1,2016-03-27 08:00:00,153,43,44,2014-01-02T15:55:54Z
c2d1cb2c701f3c0dd06a6db298cd78e06d039c8f,ayudovin,2019-06-17T16:38:59Z,17,15,2,2,1,"{'addition': 0, 'deletion': 0, 'commits': 0}",31,1,1,2018-08-19 08:00:00,25,6,8,2017-12-26T14:36:28Z
cb7ae2e60aa2b9aefcdb166ac36d85a11d675990,wilkinsona,2017-01-17T17:01:28Z,189,188,1,6,2,"{'addition': 331, 'deletion': 213, 'commits': 46}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
44dde9fc1247e3640dbefe952f3dd6746e579eac,philwebb,2014-12-06T07:04:22Z,921,921,0,20,2,"{'addition': 3395, 'deletion': 3599, 'commits': 51}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
c4122b8f8d77585c04be7c0edf7090340ffc8873,wilkinsona,2015-10-28T12:14:31Z,254,243,11,7,2,"{'addition': 1429, 'deletion': 1724, 'commits': 83}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
a06de4d997103b377af349b392626cb2c18c31bf,wilkinsona,2018-04-09T15:14:27Z,96,91,5,3,2,"{'addition': 570, 'deletion': 386, 'commits': 50}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
fc9036a3d9398f7539569f6b436dd827413ff125,vpavic,2018-02-02T11:05:51Z,90,84,6,11,2,"{'addition': 5, 'deletion': 30, 'commits': 1}",130,1,2,2015-10-04 08:00:00,83,114,80,2011-10-24T20:27:49Z
dcf61abe30026b67ec73ad8dace4058aef2cfcdb,bclozel,2018-02-22T17:00:45Z,97,54,43,2,1,"{'addition': 142, 'deletion': 76, 'commits': 8}",406,3,3,2014-05-18 08:00:00,144,1018,108,2009-07-09T12:46:57Z
d7251f52a44141d136b24fd90e06e46213a7e94d,philwebb,2017-11-29T16:58:19Z,180,114,66,13,4,"{'addition': 3407, 'deletion': 2680, 'commits': 35}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
67556ba8eaf22a352b03fe197a0c452f695835a6,philwebb,2017-03-07T19:26:11Z,6108,2821,3287,263,2,"{'addition': 735, 'deletion': 598, 'commits': 12}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
fd5c43cdc97a3b17234a139b566a96eabd282639,philwebb,2017-10-13T16:14:27Z,6401,3379,3022,169,1,"{'addition': 394283, 'deletion': 393531, 'commits': 17}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
361437f4e26a751b38a01f1f6c58ab6d9b24cb71,wilkinsona,2019-03-11T15:27:15Z,93,69,24,22,2,"{'addition': 2868, 'deletion': 2547, 'commits': 74}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
978f80122b9138f5606bd9e33597807b90129d61,snicoll,2019-02-27T12:37:18Z,15,5,10,2,1,"{'addition': 5015, 'deletion': 2057, 'commits': 37}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
d52b599eee5193502e27a3f5805c18cba37ddbda,bclozel,2018-11-21T09:29:55Z,70,59,11,5,1,"{'addition': 355, 'deletion': 126, 'commits': 8}",406,3,3,2014-05-18 08:00:00,144,1018,108,2009-07-09T12:46:57Z
8c896d93761999ad0de655e10ecdc5caf7fe0759,philwebb,2018-10-04T14:58:09Z,144,76,68,2,1,"{'addition': 2412, 'deletion': 1192, 'commits': 50}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
d0de4657d4fa7c0b181a2d6ef05402deee5b5785,philwebb,2018-09-20T16:49:55Z,834,543,291,4,1,"{'addition': 2270, 'deletion': 1870, 'commits': 51}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
3273859fdeb432e6b2b9de617f7df4ee412f4788,philwebb,2017-12-13T21:54:22Z,158,83,75,26,1,"{'addition': 2945, 'deletion': 2589, 'commits': 21}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
9a9111af2132ff50afe4aa0704be4bce19cf76fa,philwebb,2018-07-24T15:35:37Z,761,501,260,22,2,"{'addition': 0, 'deletion': 0, 'commits': 0}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
d6b6a5f81f1f4790f45318522c856e9e78f23510,mbhave,2018-08-06T23:29:39Z,632,629,3,16,1,"{'addition': 1098, 'deletion': 507, 'commits': 21}",814,2,2,2016-10-02 08:00:00,188,615,37,2012-05-21T21:52:15Z
e57b0e00f24a4e0d5ac3120f56aaa1991064b48f,wilkinsona,2014-12-19T23:49:15Z,441,311,130,8,2,"{'addition': 1825, 'deletion': 271, 'commits': 23}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
497457c397d9c45b127285c5cc3f2ba36aa5b890,philwebb,2017-07-26T20:29:38Z,1680,868,812,28,1,"{'addition': 5041, 'deletion': 2954, 'commits': 13}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
717bd2c58099e3ff9b5de66bc8e6076436f3ef31,igor-suhorukov,2018-01-27T12:13:04Z,89,37,52,21,2,"{'addition': 130, 'deletion': 125, 'commits': 5}",37,1,2,2018-01-07 08:00:00,18,48,68,2014-12-28T17:38:34Z
975e986fef1517b80eaf280edf24409ff79c5f8e,philwebb,2018-05-05T02:04:28Z,173,83,90,6,1,"{'addition': 86, 'deletion': 90, 'commits': 2}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
a3f978793ec37319fee889f2727f5712416ff45e,philwebb,2015-10-14T06:09:09Z,1225,794,431,9,2,"{'addition': 13538, 'deletion': 10121, 'commits': 66}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
138d66706a771339b2afe0809a5544c06c62f1f5,philwebb,2015-09-03T04:02:59Z,249,143,106,8,2,"{'addition': 0, 'deletion': 0, 'commits': 0}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
3e4da3cc3761d0e28a22e8d370ce76d3132ca84b,philwebb,2018-02-27T20:52:37Z,273,139,134,9,1,"{'addition': 14748, 'deletion': 12291, 'commits': 53}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
0925a0957e6643e97683e22bd9c741cf9c2bb08a,philwebb,2018-02-21T00:24:35Z,3,3,0,1,2,"{'addition': 14604, 'deletion': 11120, 'commits': 68}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
5de46c3186b8eaad82636c59bfa071270ea686c9,philwebb,2018-02-09T00:34:49Z,244,131,113,60,1,"{'addition': 12692, 'deletion': 6953, 'commits': 63}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
24d086066b8960ea3f98e2af73e3dcae10ae11c4,philwebb,2017-07-19T15:58:02Z,3102,2216,886,24,1,"{'addition': 577, 'deletion': 507, 'commits': 4}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
7d5e41f7dcb5a6edddfcd6742049342fb23c0000,philwebb,2018-02-01T18:24:53Z,202,117,85,12,1,"{'addition': 22495, 'deletion': 16606, 'commits': 46}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
8f4bf233b4895a4fade5aff41e0a309f90ba3193,philwebb,2017-11-20T05:03:26Z,1233,714,519,69,1,"{'addition': 4067, 'deletion': 2467, 'commits': 35}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
72862b565ce507c75efb978a5bbe235e5f2094bc,philwebb,2017-11-19T04:29:43Z,107,68,39,2,1,"{'addition': 4067, 'deletion': 2467, 'commits': 35}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
a5ae81c1c195588d08d36b5a4c29a83d101e6f76,philwebb,2016-02-06T22:48:43Z,4604,2104,2500,164,3,"{'addition': 11489, 'deletion': 11494, 'commits': 38}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
eb045f1da13083cf2cd6f4d45184c252969be76c,snicoll,2017-09-26T16:16:45Z,54,27,27,3,1,"{'addition': 4777, 'deletion': 2922, 'commits': 70}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
f1c5fc41b443abe8321946a12d03ad7d7bf6aeea,wilkinsona,2017-09-05T11:52:38Z,341,170,171,31,1,"{'addition': 347, 'deletion': 129, 'commits': 4}",6608,18,27,2013-10-06 08:00:00,344,1240,146,2011-07-14T09:41:59Z
06a7ab0cd5f3036e7ece4edf7c80428874afc362,philwebb,2016-12-20T21:52:53Z,254,161,93,5,2,"{'addition': 100, 'deletion': 84, 'commits': 7}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
8e3baf3130220a331d540cb07e1aca263b721b38,philwebb,2017-07-11T20:55:45Z,711,381,330,54,1,"{'addition': 192, 'deletion': 174, 'commits': 1}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
d4f87ae74eb887fb0f3c87ebfeebf19cc025f73f,snicoll,2017-04-28T08:07:28Z,122,55,67,24,1,"{'addition': 1193, 'deletion': 839, 'commits': 54}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
bd83aca63f62f4ff089567272a85d565a7a0791d,philwebb,2015-01-06T19:58:28Z,136,102,34,2,1,"{'addition': 1594, 'deletion': 498, 'commits': 48}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
deaa6089b0019da0f4ada042da91c857c46d1551,snicoll,2017-02-28T14:18:23Z,306,150,156,5,2,"{'addition': 3328, 'deletion': 846, 'commits': 38}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
5e4238f38a4fd785c6a04dd11f23f49fdff2c286,philwebb,2013-07-29T04:48:19Z,2650,1887,763,35,2,"{'addition': 224917, 'deletion': 220422, 'commits': 74}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
8b04973244e14dae61178986d0ae10c8c379bc7c,drumonii,2015-01-07T03:08:15Z,52,48,4,3,1,"{'addition': 1, 'deletion': 1, 'commits': 1}",5,1,1,2014-12-28 08:00:00,9,7,21,2013-02-23T21:17:14Z
1b17677e0b5bb326840c033825c236e3366562cb,philwebb,2016-11-01T04:42:58Z,324,168,156,5,2,"{'addition': 460, 'deletion': 416, 'commits': 4}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
fa6a13859871b418d1e01fe3f8579b1bf8c5825e,philwebb,2017-01-27T04:42:51Z,676,638,38,8,2,"{'addition': 5171, 'deletion': 3483, 'commits': 55}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
10dbf3c571258bcc788d4fd091aeb42b3c011da6,philwebb,2017-01-19T04:29:31Z,166,142,24,12,1,"{'addition': 5236, 'deletion': 2792, 'commits': 65}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
c4188c8e4a480cd65b080d2738fee099da01fc62,garyrussell,2016-03-28T19:48:50Z,1415,1412,3,16,1,"{'addition': 2, 'deletion': 2, 'commits': 2}",51,1,1,2014-04-27 08:00:00,40,599,125,2010-11-16T13:16:44Z
642af52d0169577a98513c6489c74a47736c9d95,snicoll,2016-11-04T16:49:15Z,549,320,229,10,1,"{'addition': 732, 'deletion': 2778, 'commits': 20}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
b6b8bef009ae855be1cd6b57ac2a898c943d8a2d,philwebb,2016-11-22T22:51:56Z,98,45,53,4,1,"{'addition': 2084, 'deletion': 1275, 'commits': 24}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
77a1a3b3c08d8087c0e6ec8d921dac4bf55bf11f,dsyer,2016-12-20T12:54:13Z,98,94,4,2,1,"{'addition': 27, 'deletion': 10, 'commits': 2}",600,13,18,2013-04-21 08:00:00,118,3087,333,2009-09-07T08:52:49Z
c5cc626d48d7167095f37b3ba938bf9a6167a734,snicoll,2016-10-11T15:59:25Z,2503,5,2498,36,1,"{'addition': 1356, 'deletion': 5786, 'commits': 45}",5177,16,22,2014-03-16 08:00:00,342,1451,176,2010-11-21T10:27:20Z
582239b03bdf8f041f9e13bb2fa0628081e51860,philwebb,2015-07-09T06:20:47Z,511,468,43,8,1,"{'addition': 14660, 'deletion': 10337, 'commits': 60}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
e07df7e4c6d69b5be6c56e76b854e1a3c7436e89,philwebb,2015-09-08T22:06:44Z,650,325,325,210,1,"{'addition': 2052, 'deletion': 1463, 'commits': 15}",3166,54,76,2012-10-21 08:00:00,267,1549,135,2010-12-12T08:58:34Z
868589366e5428d6ba79ee26be5ef94602e5aa85,rwinch,2015-08-25T16:16:29Z,134,117,17,4,1,"{'addition': 55, 'deletion': 2, 'commits': 2}",20,1,1,2013-08-04 08:00:00,18,981,342,2010-08-12T18:08:04Z
